Post Date,Recruitment Board,Exam / Post Name,Qualification,Advt No,Last Date,More Information
30/08/2025,ICSI,Consultant     – 1 Posts,B.Tech/B.E,–,17-09-2025,Get Details
30/08/2025,DPCC,Assistant Environmental Engineer     – 8 Posts,B.Tech/B.E,DPCC/(3)(2)(80)/Admn-2025/,19-09-2025,Get Details
30/08/2025,RVNL,"Sr. DGM, Manager     – 05 Posts","Any Graduate, CA",–,28-09-2025,Get Details
30/08/2025,RVNL,Chief Project Manager     – 01 Posts,B.Tech/B.E,–,28-09-2025,Get Details
30/08/2025,RCIL,Senior Solution Architect and Solution Architect     – 03 Posts,"B.Tech/B.E, ITI, CS, M.Sc, MCA",–,22-09-2025,Get Details
30/08/2025,Supreme Court of India,Court Master     – 30 Posts,Any Graduate,–,15-09-2025,Get Details
29/08/2025,ESIC,"Senior Resident, Specialist     – 38 Posts","MBBS, DNB, PG Diploma, MS/MD",–,10-09-2025,Get Details
29/08/2025,Municipal Corporation of Delhi,Senior Resident     – 02 Posts,"MBBS, Diploma, DNB, Any Post Graduate",–,12-09-2025,Get Details
29/08/2025,NHSRC,Consultant,"BDS, MBBS, Any Post Graduate, MPH",–,23-09-2025,Get Details
29/08/2025,ITPO,Young Professional     – 03 Posts,"Any Bachelors Degree, B.Tech/B.E",–,26-09-2025,Get Details
29/08/2025,RITES,Director,"B.Tech/B.E, MBA/PGDM, PG Diploma",77/2025,23-09-2025,Get Details
29/08/2025,NSCD,"Junior Stenographer, Office Assistant     – 02 Posts",12TH,14 / 2025,10-09-2025,Get Details
29/08/2025,Sports Authority of India,Chief Coach     – 30 Posts,Diploma,–,26-09-2025,Get Details
28/08/2025,PNB,Chief Economic Advisor     – 01 Posts,M.A,–,25-09-2025,Get Details
25/08/2025,ILBS,"Professor, Consultant and More     – 171 Posts",Other,–,20-09-2025,Get Details
23/08/2025,KVS,Deputy Commissioner     – 3 Posts,M.Ed,20/2025,23-09-2025,Get Details
23/08/2025,ITPO,Consultant     – 03 Posts,"Any Graduate, MBA/PGDM",–,10-09-2025,Get Details
22/08/2025,DSSSB,"Chauffeur, Despatch Rider cum Process Server     – 20 Posts","12TH, 10TH",F.1(383)/P&P/DSSSB/2024/Advt./3092,24-09-2025,Get Details
21/08/2025,BIS,Young Professionals     – 02 Posts,"B.Sc, B.Tech/B.E, MBA/PGDM",01 (YP)/2025/CRO,13-09-2025,Get Details
18/08/2025,Army Dental Corps,Dental Corps     – 30 Posts,"BDS, Master of Dental Surgery",–,17-09-2025,Get Details
16/08/2025,CDOT,"Hindi Officer, Manager and More     – 04 Posts",Any Graduate,C-DOTD/HR/REC/2025/07/01,14-09-2025,Get Details
14/08/2025,DSSSB,"Security Attendant, Court Attendant, Room Attendant     – 334 Posts","ITI, 10TH",03/2025,24-09-2025,Get Details
14/08/2025,NCRTC,Assistant Manager/ Telecom     – 01 Posts,Diploma,42/2025,13-09-2025,Get Details
14/08/2025,NCRTC,Assistant Manager     – 01 Posts,"B.Tech/B.E, Diploma",NCRTC/HR/Rectt./42/2025,13-09-2025,Get Details
12/08/2025,NDTL,"Scientist B, Section Officer and More     – 03 Posts",Other,–,22-09-2025,Get Details
11/08/2025,NHAI,Young Professional     – 44 Posts,LLB,–,10-09-2025,Get Details
11/08/2025,Delhi Cantonment Board,Junior Engineer     – 04 Posts,Diploma,–,21-09-2025,Get Details
06/08/2025,CDOT,"Manager, Hindi Officer and More     – 03 Posts",Any Masters Degree,–,15-09-2025,Get Details
04/08/2025,DSSSB,"Forest Guard, Caretaker and More     – 615 Posts","Any Graduate, B.A, B.Com, B.Ed, B.Sc, B.Tech/B.E, Diploma, ITI, 12TH, 10TH, CA, CS, ICWA, M.A, M.Sc, M.E/M.Tech, MBA/PGDM, MCA, PG Diploma",02/2025,16-09-2025,Get Details
01/08/2025,Central Employment Exchange,Navigational Assistant Grade III     – 04 Posts,Diploma,06/2025,05-10-2025,Get Details
03/07/2025,NRAA,Director     – 04 Posts,"M.Sc, M.E/M.Tech, MVSC",–,04-10-2025,Get Details
30/05/2025,BSF,"Deputy Chief Engineer, Senior Aircraft Maintenance Engineer     – 09 Posts",B.Tech/B.E,–,30-11-2025,Get Details
08/09/2025,Goa PSC,Junior Scale Officer     – 38 Posts,Any Graduate,09 YEAR 2025,19-09-2025,Get Details
05/09/2025,Goa PSC,Junior Scale Officer     – 38 Posts,Any Graduate,09 YEAR 2025,19-09-2025,Get Details
04/09/2025,IIT Goa,Sports Coaches     – 05 Posts,Any Graduate,–,16-09-2025,Get Details
04/09/2025,Institute of Shipbuilding Technology,Accountant     – 01 Posts,"B.A, B.Com",–,01-10-2025,Get Details
03/09/2025,GHB,"Junior Engineer, MTS and More     – 04 Posts","B.Tech/B.E, Diploma, 10TH",–,22-09-2025,Get Details
25/08/2025,GSL,Management Trainee     – 32 Posts,"B.Tech/B.E, CA",06/2025,24-09-2025,Get Details
21/08/2025,GSL,"Junior Project Executive, Management Trainee     – 62 Posts",B.Tech/B.E,–,24-09-2025,Get Details
10/09/2025,AIIMS Rajkot,Senior Project Assistant     – 01 Posts,B.Sc,AIIMS/RAJKOT/EM/17/ICMR/NCTB/2025/22,24-09-2025,Get Details
10/09/2025,CCI,"Field Staff, Office Staff","Any Graduate, B.Com, B.Sc",–,24-09-2025,Get Details
10/09/2025,AIIMS Rajkot,Senior Residents     – 57 Posts,"DNB, MS, M.Phil/Ph.D, MS/MD",AIIMS/RAJKOT/ACAD/SR/2313,06-10-2025,Get Details
09/09/2025,GSSSB,Municipal Sanitary Inspector     – 75 Posts,"Diploma, ITI, 12TH",349/202526,15-09-2025,Get Details
09/09/2025,Arogyasathi Gujarat,"Psychologist, Optometrist and Other     – 04 Posts","B.Sc, BASLP, M.A",–,15-09-2025,Get Details
08/09/2025,Sabar Dairy,"Trainee Junior Assistant, Trainee Technician and More","Any Graduate, B.Com, B.Sc, B.Tech/B.E, Diploma, ITI, M.Com, MBA/PGDM",–,17-09-2025,Get Details
08/09/2025,CCI,"Semi Skilled, Un Skilled",Other,–,25-09-2025,Get Details
08/09/2025,GTU,"Professor, Associate Professor and More     – 14 Posts","Any Bachelors Degree, B.Tech/B.E, Any Masters Degree, M.E/M.Tech, MS, M.Phil/Ph.D, BS",07/2025,24-09-2025,Get Details
08/09/2025,GTU,"Assistant Librarian, Laboratory Technician     – 05 Posts","B.Com, B.Tech/B.E, Diploma, M.Lib",08/2025,24-09-2025,Get Details
06/09/2025,CCI,"Field Staff, Office Staff","B.Com, B.Sc",CCI/AHD/HRD/Temp. Rectt./2025-26/,23-09-2025,Get Details
05/09/2025,IFSCA,Officer Grade A (Assistant Manager)     – 20 Posts,Not mentioned,–,25-09-2025,Get Details
04/09/2025,IIT Gandhinagar,AI Engineer     – 02 Posts,"B.Tech/B.E, M.E/M.Tech",–,10-09-2025,Get Details
04/09/2025,AIIMS Rajkot,Senior Project Assistant     – 01 Posts,B.Sc,AIIMS/RAJKOT/EM/18/ICMR/CPLI/2025/22,24-09-2025,Get Details
04/09/2025,CSIR CSMCRI,Project Associate I     – 01 Posts,M.Sc,–,10-09-2025,Get Details
03/09/2025,IIT Gandhinagar,Counseling Psychologist     – 02 Posts,"B.Sc, M.Sc",–,10-09-2025,Get Details
03/09/2025,CSIR CSMCRI,"Project Associate, Project Assistant and More     – 04 Posts",M.Sc,APBD/ HCP0024/2025/02,18-09-2025,Get Details
03/09/2025,CCI,Semi skilled and Un Skilled,Other,–,24-09-2025,Get Details
02/09/2025,KRCL,Road Mobile Crane Operator     – 1 Posts,8TH,–,22-09-2025,Get Details
02/09/2025,GSSSB,Dental Technician     – 01 Posts,Diploma,352/202526,10-09-2025,Get Details
02/09/2025,CSIR CSMCRI,Project Associate I     – 01 Posts,M.Sc,–,17-09-2025,Get Details
02/09/2025,GSSSB,Royalty Inspector     – 02 Posts,"B.Tech/B.E, M.Sc",353/202526,10-09-2025,Get Details
02/09/2025,ISRO SAC,"Project Associate, Project Scientist     – 13 Posts","B.Tech/B.E, M.Sc, M.E/M.Tech, M.Phil/Ph.D",SAC:01:2025,22-09-2025,Get Details
30/08/2025,KRIBHCO,"Chief Manager, Senior Manager     – 03 Posts",B.Tech/B.E,–,21-09-2025,Get Details
26/08/2025,GSSSB,Additional Assistant Engineer     – 15 Posts,Diploma,348/202526,11-09-2025,Get Details
26/08/2025,GSSSB,"X-Ray Assistant, Fireman cum Driver     – 53 Posts","12TH, 10TH",346/202526 & 347/202526,15-09-2025,Get Details
22/08/2025,CSIR CSMCRI,Project Associate     – 1 Posts,M.Sc,–,10-09-2025,Get Details
09/09/2025,NRHM Haryana,"Medical Officer, Nurse and Other     – 05 Posts","Any Graduate, B.A, B.Sc, MBBS, BSW, GNM",NRHM/AMB/2024-25/1267,19-09-2025,Get Details
08/09/2025,HPSC,"Treasury Officer, Assistant Treasury Officer     – 54 Posts",Any Graduate,23/2023,12-09-2025,Get Details
05/09/2025,RITES,IT Professionals     – 1 Posts,"B.Tech/B.E, MCA",–,06-10-2025,Get Details
04/09/2025,THSTI,Project Associate I     – 01 Posts,M.Sc,–,23-10-2025,Get Details
03/09/2025,THSTI,"DEO,Project Research Scientist I     – 02 Posts","Any Graduate, BDS, B.Pharma, B.Sc, MBBS, BVSC, BAMS, BUMS, BPT, BHMS, D.Pharm, BSMS",–,22-09-2025,Get Details
30/08/2025,HPPA,"Mobile Application Developer, Business Analyst and More     – 04 Posts","Any Bachelors Degree, M.E/M.Tech, MBA/PGDM, MCA",–,12-09-2025,Get Details
28/08/2025,RITES,"Manager, Assistant Manager and More     – 06 Posts","B.Arch, B.Tech/B.E, Any Post Graduate, M.E/M.Tech, MBA/PGDM",–,30-09-2025,Get Details
28/08/2025,BEL,"Field Operation Engineer, Project Engineer     – 22 Posts","B.Sc, B.Tech/B.E","2025-26/08/PK/FOE, PE/003",11-09-2025,Get Details
28/08/2025,HPSC,Executive Officer     – 05 Posts,LLB,2112025,18-09-2025,Get Details
26/08/2025,RITES,Resident Lab Technician     – 03 Posts,"B.Sc, B.Tech/B.E, M.Sc",–,14-09-2025,Get Details
25/08/2025,ICAR IIWBR,"SRF, Field Work and More     – 02 Posts","Any Bachelors Degree, M.Sc, M.Phil/Ph.D",–,11-09-2025,Get Details
21/08/2025,HPSC,Assistant Environmental Engineer     – 29 Posts,B.Tech/B.E,20 of 2025,10-09-2025,Get Details
18/08/2025,NIT Kurukshetra,"Deputy Registrar, Medical Officer and More     – 06 Posts","B.Tech/B.E, MBBS, Any Masters Degree, M.A, M.Sc",20/2025,30-09-2025,Get Details
18/08/2025,NIT Kurukshetra,"Junior Engineer, Stenographer and More     – 46 Posts","Any Graduate, B.A, B.Com, B.Sc, B.Tech/B.E, ITI, 12TH",21/2025,30-09-2025,Get Details
22/05/2025,WAPCOS,Expert,"B.Arch, B.Tech/B.E, Diploma, Any Masters Degree, CA, M.A, M.E/M.Tech, MBA/PGDM, MCA, M.Plan",–,31-03-2026,Get Details
01/09/2025,HPRCA,TGT     – 937 Posts,"B.A, B.Com, B.Ed, B.Sc, Any Post Graduate, M.Ed, M.Sc, B.El.Ed",01/2025,15-09-2025,Get Details
01/09/2025,CSK HPKV,Teaching,"Any Masters Degree, M.Phil/Ph.D",–,10-09-2025,Get Details
30/08/2025,HPPSC,Assistant Director     – 02 Posts,"B.Sc, M.Sc",40/8-2025,26-09-2025,Get Details
28/08/2025,AIIMS Bilaspur,Faculty     – 90 Posts,"MBBS, M.Sc, MS, M.Phil/Ph.D, Master of Dental Surgery, MS/MD, MHA, M.Ch, DM",AIIMS-BLS(B-I)(2)(5)(Vol-V)/25-3325,29-09-2025,Get Details
28/08/2025,RKGMC Hamirpur,Junior Resident     – 26 Posts,Other,–,12-09-2025,Get Details
19/08/2025,HPRCA,"Laboratory Assistant, Statiscal Assistant and Other     – 76 Posts","Any Bachelors Degree, B.A, B.Com, B.Sc, 12TH, 10TH",03/202,30-09-2025,Get Details
14/08/2025,HPRCA,Junior Basic Teacher     – 600 Posts,"Diploma, 12TH, Any Post Graduate, B.El.Ed, D.El.Ed",02/2025,17-09-2025,Get Details
12/08/2025,SJVN,"Assistant, Workmen Trainee     – 13 Posts",Any Graduate,123/2025,10-09-2025,Get Details
03/09/2025,IIT Jammu,Project Assistant     – 01 Posts,"B.Sc, M.Sc",IITJMU/R&C/ RP-100310/A-138,14-09-2025,Get Details
03/09/2025,JKSSB,"Staff Nurse, Junior Pharmacist and More     – 621 Posts","Any Graduate, B.Pharma, B.Sc, B.Tech/B.E, Diploma, 12TH, 10TH, D.Pharm",07 of 2025,18-09-2025,Get Details
01/09/2025,Prasar Bharati,Part Time Correspondent,"Any Bachelors Degree, PG Diploma",–,14-09-2025,Get Details
10/09/2025,IIT ISM Dhanbad,Non Teaching     – 10 Posts,"B.Sc, Diploma, B.Lib, M.Sc, M.Lib",–,24-10-2025,Get Details
06/09/2025,AIR Ranchi,Casual Broadcast Assistant,Any Graduate,RAN/RNU/BROADCAST ASSISTANT(1)/2025,10-09-2025,Get Details
05/09/2025,IIT ISM Dhanbad,Project Associate I     – 01 Posts,"B.Tech/B.E, M.E/M.Tech",–,19-09-2025,Get Details
03/09/2025,IIT ISM Dhanbad,Research Assistant     – 01 Posts,B.Tech/B.E,–,30-09-2025,Get Details
03/09/2025,District Ayush Society Koderma,District Programme Manager     – 01 Posts,"Any Graduate, Any Post Graduate, MBA/PGDM",–,20-09-2025,Get Details
02/09/2025,JPSC,Director     – 01 Posts,"B.Tech/B.E, M.A, M.Sc, MCA",07/2025,03-10-2025,Get Details
01/09/2025,AIIMS Deoghar,Lab Technician     – 01 Posts,"B.Sc, DMLT, MLT",–,14-09-2025,Get Details
26/08/2025,MECON,"DGM, GM     – 02 Posts","Any Post Graduate, M.A, MBA/PGDM, PG Diploma, MSW",–,24-09-2025,Get Details
22/08/2025,UCIL,"Mangement Trainee, Diploma Trainee, Graduate Operational Trainee     – 99 Posts","B.Sc, B.Tech/B.E, Diploma, MBA/PGDM, PG Diploma",UCIL-06-2025,24-09-2025,Get Details
16/08/2025,ECL,ITI Apprentices     – 280 Posts,ITI,–,26-09-2025,Get Details
13/08/2025,JSSC,Female Health Worker     – 3181 Posts,ANM,03/2025 and 04/2025,10-09-2025,Get Details
10/09/2025,WCD Dakshina Kannada,"Anganwadi Worker, Anganwadi Helper     – 277 Posts","12TH, 10TH",–,10-10-2025,Get Details
09/09/2025,Bangalore University,Guest Faculty,M.Phil/Ph.D,–,14-09-2025,Get Details
03/09/2025,KHPT,Deputy Chief Executive Officer,Any Masters Degree,–,30-09-2025,Get Details
03/09/2025,BHEL,Project Supervisors     – 05 Posts,Diploma,FTA 02/2025,19-09-2025,Get Details
03/09/2025,HLL,Safety Officer     – 01 Posts,"B.Sc, B.Tech/B.E",–,17-09-2025,Get Details
02/09/2025,BEL,"Trainee Engineer, Project Engineer and More     – 16 Posts","B.Sc, B.Tech/B.E, M.Sc, MCA",383/HR/HLS&SCB/2025-26,17-09-2025,Get Details
30/08/2025,CCI,"Field Assistant, Office Clerk","Any Graduate, B.Com, B.Sc",–,18-09-2025,Get Details
30/08/2025,ESIC,"Assistant Engineer, Junior Engineer     – 07 Posts","B.Tech/B.E, Diploma",–,15-09-2025,Get Details
29/08/2025,WAPCOS,"Team Leader, Site Engineer and More     – 16 Posts","Any Graduate, B.Tech/B.E, Any Post Graduate, M.E/M.Tech",–,11-09-2025,Get Details
28/08/2025,BEL,"Project Engineer I, Trainee Engineer I     – 03 Posts","B.Sc, B.Tech/B.E",11056050/HR/PE&TE/2025/01,13-09-2025,Get Details
21/08/2025,ISRO NSIL,Chairman cum Managing Director,"Any Graduate, B.Sc, B.Tech/B.E, MBA/PGDM, PG Diploma",DS_IX-14011/1/2024-Section_9-DOS,11-09-2025,Get Details
16/08/2025,RMS Bengaluru,Assistant Master     – 01 Posts,Any Bachelors Degree,–,12-09-2025,Get Details
11/08/2025,HPCL,Fixed Term Project Associates,"B.Sc, B.Tech/B.E, Diploma, M.Sc, PG Diploma",–,14-09-2025,Get Details
10/09/2025,Cochin Port Authority,Gardening Supervisor     – 01 Posts,10TH,A/Contract/Gardening Supervisor/2025/S,30-09-2025,Get Details
10/09/2025,CSL,Apprentices     – 140 Posts,"B.Tech/B.E, Diploma",CSL/P&A/APPE/SEL. DESIGNTD/DEGREE_DIPLOMA_2023_2024/2023/4,25-09-2025,Get Details
09/09/2025,ESIC Ernakulam,"Senior Resident, Specialist and Other     – 23 Posts","MBBS, DNB, MS/MD, M.Ch, DM",543.A-12/16/1/2024-Adm(Rectt),18-09-2025,Get Details
09/09/2025,Spices Board,Consultant Assistant     – 01 Posts,"Any Graduate, Diploma",30/2025,23-09-2025,Get Details
09/09/2025,KSRTC,Executive Engineer     – 01 Posts,B.Tech/B.E,–,13-09-2025,Get Details
08/09/2025,Central University of Kerala,Project Fellow     – 02 Posts,M.Sc,–,19-09-2025,Get Details
08/09/2025,KSRTC SWIFT,Driver cum Conductor,10TH,–,15-09-2025,Get Details
08/09/2025,CMD Kerala,"Assistant Project Manager, Junior Engineer     – 09 Posts","B.Tech/B.E, Diploma",CMD/KSITIL/PMU/01/2025,16-09-2025,Get Details
04/09/2025,FACT,Apprentice     – 84 Posts,"B.Tech/B.E, Diploma",–,20-09-2025,Get Details
03/09/2025,NABFINS,Customer Service Officer,12TH,–,25-09-2025,Get Details
03/09/2025,HLL,Vice President     – 01 Posts,MBA/PGDM,–,17-09-2025,Get Details
03/09/2025,SCTIMST,Apprentice in Patient Management Services     – 10 Posts,"B.Sc, BSW",–,10-09-2025,Get Details
03/09/2025,NIELIT,Project Engineer     – 01 Posts,B.Tech/B.E,3(133)/97/CONTRACT/RECTT/2025/11,12-09-2025,Get Details
02/09/2025,IIM Kozhikode,Hostel Warden     – 02 Posts,Any Graduate,–,10-09-2025,Get Details
02/09/2025,Cochin Port Authority,Gardening Supervisor     – 01 Posts,10TH,–,30-09-2025,Get Details
02/09/2025,BEL,"Field Operation Engineer, Project Engineer- I     – 67 Posts","B.Sc, B.Tech/B.E, M.E/M.Tech",383/HR/HLS&SCB/2025-26,17-09-2025,Get Details
02/09/2025,ESIC,"Specialist, Senior Residents     – 21 Posts","BDS, MBBS, Diploma, DNB, Any Post Graduate, PG Diploma",–,10-09-2025,Get Details
02/09/2025,KDRB,"Peon, LDC and More     – 312 Posts","Any Graduate, B.Ed, B.Sc, Diploma, B.Lib, 12TH, 10TH, M.A, M.Sc, 7th",–,30-09-2025,Get Details
30/08/2025,KIIFB,Project Engineer,B.Tech/B.E,CMD/KIIFB/PAD/06/2025,11-09-2025,Get Details
30/08/2025,NAM Kerala,"Ayurveda Therapist, Multipurpose Worker     – 06 Posts",ANM,NAM/DPMSU/EKM-28/2025,10-09-2025,Get Details
28/08/2025,CIFNET,Guest Lecturer     – 01 Posts,"B.Sc, BSW",–,10-09-2025,Get Details
28/08/2025,Spices Board,Accounts Trainee     – 02 Posts,B.Com,–,11-09-2025,Get Details
26/08/2025,DRDO,Junior Research Fellow     – 05 Posts,"B.Tech/B.E, M.Sc, M.E/M.Tech",–,11-10-2025,Get Details
26/08/2025,NIELIT,Project Engineer     – 01 Posts,B.Tech/B.E,3(133)/97/CONTRACT/RECTT/2025/11,12-09-2025,Get Details
23/08/2025,NIELIT,Project Engineer     – 01 Posts,B.Tech/B.E,–,12-09-2025,Get Details
19/08/2025,Cochin Port Authority,Secretarial Assistant     – 03 Posts,Any Bachelors Degree,–,12-09-2025,Get Details
06/08/2025,Kerala PSC,Deputy Superintendent of Police (Trainee)     – 02 Posts,Any Graduate,265/2025,10-09-2025,Get Details
09/09/2025,MP High Court,"Chief, Deputy Chief  Legal Aid Defense Counsels and more     – 06 Posts","LLM, M.Phil/Ph.D",–,26-09-2025,Get Details
08/09/2025,IGNTU,Research Associate     – 01 Posts,M.Phil/Ph.D,–,29-09-2025,Get Details
08/09/2025,IGNTU,Assistant Professor     – 01 Posts,M.Phil/Ph.D,–,29-09-2025,Get Details
08/09/2025,DHSGSU,Junior Research Fellow     – 01 Posts,"M.Sc, M.E/M.Tech",PRO/DST/AKS-05-25,18-09-2025,Get Details
05/09/2025,MP High Court,Assistant Librarian     – 02 Posts,"LLB, M.Lib, PGDCA",–,22-09-2025,Get Details
05/09/2025,MPPSC,District Public Health Nurse Officer     – 12 Posts,"B.Sc, M.Sc, PG Diploma",05/2025,24-10-2025,Get Details
03/09/2025,MPESB,Group 2 Sub Group 3     – 339 Posts,Any Bachelors Degree,–,23-09-2025,Get Details
29/08/2025,AIIMS Bhopal,Block Field Monitors     – 27 Posts,Any Graduate,05 AIIMS/BPL/CFM/AMK/CSAM & AMB/Recruitment/,10-09-2025,Get Details
21/08/2025,MPMRCL,Advisor     – 01 Posts,Any Graduate,3892/HRD/MPMRCL-069/2025,26-09-2025,Get Details
10/09/2025,TMC,Medical Officer     – 08 Posts,"DNB, MS",TMC/PUNJAB/AD/07/2025,10-10-2025,Get Details
10/09/2025,ACTREC,"Consultant, Assistant Professor and More     – 44 Posts","BDS, MBBS, DNB, MS, MS/MD, MHA, M.Ch, DM",ACTREC/ADVT/A-13/2025,10-10-2025,Get Details
10/09/2025,IIPS,Junior Research Officer     – 24 Posts,M.Sc,–,21-09-2025,Get Details
09/09/2025,NMMC,"Staff Nurse, ANM     – 17 Posts","B.Sc, GNM, ANM",–,11-09-2025,Get Details
09/09/2025,TMC,Senior Research Fellow     – 01 Posts,M.Sc,–,12-09-2025,Get Details
09/09/2025,ECHS,Nursing Assistant     – 01 Posts,"Diploma, GNM",–,14-09-2025,Get Details
09/09/2025,MCGM,"Pharmacist, Social Development Officer     – 05 Posts","B.Pharma, D.Pharm",–,12-09-2025,Get Details
09/09/2025,Mumbai Port Authority,Medical Officer     – 06 Posts,"MBBS, Diploma, DNB, MS/MD",–,10-09-2025,Get Details
09/09/2025,HAL,"Arthroscopy Surgeon, Neurosurgeon and More     – 13 Posts","MBBS, MS/MD",–,17-09-2025,Get Details
08/09/2025,HCL,Trade Apprentice     – 10 Posts,"ITI, 10TH, 8TH",HCL/TCP/HR/APP/2025,30-09-2025,Get Details
06/09/2025,Shipping Corporation of India,"Assistant Manager, Executive     – 75 Posts","B.Arch, B.B.A, B.Tech/B.E, CS, MBA/PGDM",06/2025,27-09-2025,Get Details
06/09/2025,ACTREC,Research Assistant,"M.Sc, M.E/M.Tech",ACTREC/ADVT-161/2025,10-09-2025,Get Details
05/09/2025,IOCL,Junior Engineer     – Available Soon,Diploma,–,24-09-2025,Get Details
05/09/2025,IGIDR,"Professor, Associate Professor     – 04 Posts",Other,IGIDR/Faculty/2025/02,15-09-2025,Get Details
05/09/2025,PMC,"Microbiologist, Technical Officer and More     – 08 Posts","Any Graduate, BDS, B.Sc, MBBS, BAMS, DNB, BUMS, BPT, Any Post Graduate, MBA/PGDM, MVSC, MS/MD, BMLT",–,12-09-2025,Get Details
05/09/2025,NMC Nagpur,"Pediatrician, Medical Officer and More     – 09 Posts","MBBS, MS/MD",–,15-09-2025,Get Details
05/09/2025,PMC,"Professor, Senior Resident and More     – 52 Posts",Other,–,10-09-2025,Get Details
05/09/2025,SIDBI,"Deputy CTO, ACO     – 02 Posts","Any Graduate, B.Tech/B.E, Any Post Graduate, MBA/PGDM, PG Diploma",07/ 2025-26,26-09-2025,Get Details
05/09/2025,HAL,Apprenticeship     – 278 Posts,"B.A, B.Com, B.Pharma, B.Sc, B.Tech/B.E, Diploma",HAL/T&D/1614/2025-26/303,18-09-2025,Get Details
05/09/2025,MCGM,"Pharmacist, Social Development Officer     – 03 Posts","Diploma, MSW",–,19-09-2025,Get Details
04/09/2025,ACTREC,Research Assistant,"M.Sc, M.E/M.Tech",ACTREC/ADVT-163/2025,12-09-2025,Get Details
04/09/2025,ACTREC,Research Assistant,"M.Sc, M.E/M.Tech",–,10-09-2025,Get Details
03/09/2025,NPCIL,Specialist Medical Officers     – 03 Posts,"PG Diploma, MS/MD",NPCIL/TMS/HRM/FTA/01/2025,15-09-2025,Get Details
03/09/2025,ACTREC,Project Research Scientist I,"Any Post Graduate, M.Phil/Ph.D",ACTREC/ADVT-171/2025,11-09-2025,Get Details
03/09/2025,LIC HFL,"Full stack Developer, SAP Professional     – 02 Posts","B.Sc, B.Tech/B.E, M.E/M.Tech, MCA",–,15-09-2025,Get Details
03/09/2025,TMC,Adhoc Assistant Professor E     – 02 Posts,"MS/MD, DM",112 /2025,12-09-2025,Get Details
02/09/2025,CCI,"Temporary Field Assistant, Temporary Office Assistants","Any Graduate, B.Com, B.Sc",–,24-09-2025,Get Details
02/09/2025,HAL,ITI Apprentice     – 310 Posts,ITI,HAL/T&D/1614/2025-26/290,12-09-2025,Get Details
02/09/2025,ACTREC,Trial Coordinator,M.Sc,ACTREC/ADVT-176/2025,10-09-2025,Get Details
02/09/2025,Bombay High Court,Cook cum Peon     – 01 Posts,7th,–,21-09-2025,Get Details
02/09/2025,Thane Municipal Corporation,"Microbiologist, Food safety expert and More     – 23 Posts","BDS, B.Sc, MBBS, Diploma, DNB, M.Sc, M.Phil/Ph.D, MS/MD, MPH",–,12-09-2025,Get Details
30/08/2025,AIIMS Nagpur,Senior Medical Physicist     – 01 Posts,M.Sc,–,13-09-2025,Get Details
30/08/2025,AIIMS Nagpur,"Medical Physicist, Senior Medical Physicist     – 03 Posts",M.Sc,–,10-09-2025,Get Details
29/08/2025,Directorate General of Shipping Mumbai,Radio Officer,12TH,–,15-09-2025,Get Details
29/08/2025,RCFL,Apprentice     – 325 Posts,"Any Graduate, B.B.A, B.Com, B.Sc, Diploma, 12TH",–,12-09-2025,Get Details
29/08/2025,BECIL,Food Analyst     – 02 Posts,Other,522,12-09-2025,Get Details
26/08/2025,ECHS,Nursing Assistant     – 01 Posts,"Diploma, GNM",–,14-09-2025,Get Details
26/08/2025,TIFR,"Administrative Assistant B, Work Assistant     – 02 Posts","Any Graduate, 10TH",2025-03,22-09-2025,Get Details
26/08/2025,MRVC,AGM/ JGM/ DGM     – 01 Posts,B.Tech/B.E,–,20-09-2025,Get Details
25/08/2025,Naval Dockyard Mumbai,Apprentice     – 286 Posts,"ITI, 10TH, 8TH",–,13-09-2025,Get Details
25/08/2025,Mumbai Port Authority,"Chief Manager, Manager and More     – 15 Posts",Other,05/2025,23-09-2025,Get Details
23/08/2025,MBMC,"Junior Engineer, Fireman and More     – 358 Posts","Any Graduate, B.Com, B.Pharma, B.Tech/B.E, B.Lib, 10TH, MCA",1484 / 2025-26,12-09-2025,Get Details
21/08/2025,AIIMS Nagpur,Faculty (Group A)     – 116 Posts,"MBBS, Any Post Graduate, M.Sc, M.Phil/Ph.D, MS/MD, M.Ch, DM",AIIMS/NGP/Admin I/Faculty/2025/02,29-09-2025,Get Details
13/08/2025,BMC,Contractual Paramedical Worker     – 10 Posts,12TH,–,10-09-2025,Get Details
17/07/2025,Indian Bureau of Mines,Deputy Mineral Economist     – 10 Posts,"Any Bachelors Degree, Any Masters Degree",–,13-09-2025,Get Details
30/05/2025,SIDBI SVCL,Company Secretary cum Compliance Officer,Other,05 / 2025 - 26,29-05-2026,Get Details
30/05/2025,SIDBI SVCL,"Investment Associate, Vice President and More",Any Graduate,–,29-05-2026,Get Details
30/05/2025,SIDBI SVCL,Legal Officer,LLB,06 / 2025 - 26,29-05-2026,Get Details
10/09/2025,MeECL,Apprentice     – 01 Posts,Other,–,30-09-2025,Get Details
09/09/2025,NEHU,Project Assistant     – 01 Posts,B.Tech/B.E,–,20-09-2025,Get Details
05/09/2025,NIT Meghalaya,Non Teaching     – 05 Posts,"Any Bachelors Degree, ITI, 12TH, Any Masters Degree, M.Sc, M.P.Ed",–,21-10-2025,Get Details
04/09/2025,SSA North Garo Hills,Academic Resource Person     – 03 Posts,"M.A, M.Sc",–,15-09-2025,Get Details
